group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1451.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.832371627999997,-0.97905,10.994464709253334,4.148300885133574
Shear,InP_shear_1451.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.832371627999997,-0.97905,10.994464709253334,4.148300885133574
Shear,InP_shear_1461.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.905625577999999,-0.9882,10.845916110472919,4.259053970554964
Shear,InP_shear_1461.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.905625577999999,-0.9882,10.845916110472919,4.259053970554964
Shear,InP_shear_1471.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.640103608,-0.95501,11.298472571977948,4.197281245949574
Shear,InP_shear_1471.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.640103608,-0.95501,11.298472571977948,4.197281245949574
Shear,InP_shear_1481.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.782492628,-0.97281,11.0689607718476,4.194714454596403
Shear,InP_shear_1481.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.782492628,-0.97281,11.0689607718476,4.194714454596403
Shear,InP_shear_1491.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.426871387999999,-0.92836,11.557261046079775,4.371290695080801
Shear,InP_shear_1491.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.426871387999999,-0.92836,11.557261046079775,4.371290695080801
Shear,InP_shear_1501.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.364412817999998,-0.92055,11.735360209822963,4.1928010828204085
Shear,InP_shear_1501.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.364412817999998,-0.92055,11.735360209822963,4.1928010828204085
Shear,InP_shear_1501.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.364412817999998,-0.92055,11.735360209822963,4.1928010828204085
Shear,InP_shear_1501.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.364412817999998,-0.92055,11.735360209822963,4.1928010828204085
Shear,InP_shear_151.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.3736368379999995,-0.9217,11.721960060937631,4.1888837642503285
Shear,InP_shear_151.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.3736368379999995,-0.9217,11.721960060937631,4.1888837642503285
Shear,InP_shear_151.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.3736368379999995,-0.9217,11.721960060937631,4.1888837642503285
Shear,InP_shear_151.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.3736368379999995,-0.9217,11.721960060937631,4.1888837642503285
Shear,InP_shear_1511.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.3480842079999995,-0.91851,11.76669021081213,4.162215074032094
Shear,InP_shear_1511.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.3480842079999995,-0.91851,11.76669021081213,4.162215074032094
Shear,InP_shear_1511.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.3480842079999995,-0.91851,11.76669021081213,4.162215074032094
Shear,InP_shear_1511.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.3480842079999995,-0.91851,11.76669021081213,4.162215074032094
